Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
TCAL1	20924-85	Protein	20.0	3.168821463009824	0.07483410225113424	1475.1	2258.894862104321
ATF1	20926-31	Protein	20.0	2.8833206783829755	0.07302489785945031	764.4	1312.1844189856995
T2FB	20927-43	Protein	20.0	2.6276730317666157	0.07619283516133049	424.3	1202.4482654472442
TCAL7	20928-39	Protein	20.0	2.5471591213274176	0.07800684562467372	352.5	1044.624409798387
CTDSL	20929-4	Protein	20.0	2.956552591917399	0.28278424772508715	904.8	2408.3518471617535
AUHM	20931-156	Protein	20.0	3.420236380469888	0.0851312774735979	2631.7	1459.138149475128
CCD69	20932-10	Protein	0.5	3.177016767092469	0.0800135281602068	1503.2	703.4584215871105
RAB24	20934-13	Protein	20.0	2.7430391548049333	0.19306936035119274	553.4	2235.5691439193206
PDCL3	20935-4	Protein	20.0	3.6692703797381965	0.41718425325887026	4669.5	9868.268253926857
TATD3	20936-8	Protein	20.0	2.8081434257614912	0.1675520317760374	642.9	1069.9907074518717
NEP1	20937-43	Protein	20.0	2.5888317255942073	0.10581613587638106	388.0	3578.5667453519186
NHP2	20939-113	Protein	20.0	2.965906915495192	0.115708952946129	924.5	1460.00518138632
UBL3	20941-7	Protein	20.0	3.404251988116905	0.06487613030420375	2536.6	931.8249737621335
DNJB8	20942-4	Protein	0.5	3.194985843425881	0.22142660033639253	1566.7	1864.1827609615111
NAA50	20943-14	Protein	20.0	4.06954230346205	0.46827379428758314	11736.6	17426.096470396067
GTSF1	20946-41	Protein	20.0	2.6655809910179533	0.07405082453219976	463.0	1063.3006715536794
NC2B	20947-50	Protein	20.0	3.562602114778459	0.2613289503208996	3652.6	9591.774500110276
NUD16	20948-16	Protein	20.0	3.528955245414603	0.47124776715598204	3380.3	7137.194376148152
PRDC1	20950-159	Protein	20.0	4.2123820608459726	0.5982843437912314	16307.3	25463.70452414105
ECHD1	20952-15	Protein	20.0	4.009072529373643	0.2589203298730419	10211.1	11140.893660316755
MMAC	20953-34	Protein	0.5	3.4236717652895177	0.10154124545248037	2652.6	10526.246747463141
LDOCL	20954-27	Protein	20.0	2.6384892569546374	0.10595104043434635	435.0	730.4232157070908
ADAT2	20955-20	Protein	20.0	3.2786164336678323	0.12294113821201931	1899.4	1473.4442626615487
PFD4	20956-13	Protein	20.0	3.0293837776852097	0.14480829486298297	1070.0	1126.1802407379046
NUD10	20957-57	Protein	20.0	2.691435152144062	0.11817999702404708	491.4	931.0052106701971
RAB23	20958-13	Protein	20.0	3.5258348928006322	0.32704875831025887	3356.1	4814.707151029907
DUS18	20959-12	Protein	20.0	2.732071940999867	0.1262855615038769	539.6	1301.8022724224704
FUBP1	20960-47	Protein	20.0	3.612699108064592	0.23681994845870744	4099.2	12152.84348463175
RS14	20964-13	Protein	20.0	2.748265572668741	0.1741904178211089	560.1	1971.5218142915019
MP3B2	20965-18	Protein	0.5	3.475729284034757	0.11928324192382096	2990.4	1445.376016016431
SENP8	20966-7	Protein	20.0	2.640282629696681	0.07927527473584423	436.8	911.1650866523403
PSMG4	20967-137	Protein	20.0	2.8927066378056656	0.07622020987040685	781.1	3528.8734921491805
EXOS5	20968-22	Protein	20.0	3.1232961726453143	0.11132490241599677	1328.3	2834.3134481710285
RYBP	20969-114	Protein	20.0	2.4952667443878105	0.10708857576473776	312.8	685.0275566920341
DBND1	20970-14	Protein	20.0	3.2788907249286785	0.24306716175958604	1900.6	5958.811817179775
MSRB1	20971-1	Protein	20.0	3.029464946638236	0.09548614490926614	1070.2	1686.4299941034615
CPSF5	20972-37	Protein	20.0	3.7359101389693814	0.30220428196510546	5443.9	8375.262816139893
RCAN2	20975-2	Protein	20.0	2.246252312299322	0.11140119770615221	176.3	511.1195357833212
LSM3	20976-19	Protein	20.0	3.206259035209283	0.2617536992532601	1607.9	4102.340941351487
PHLP	20977-2	Protein	20.0	2.622006673006805	0.11042139117069051	418.8	1100.401636935923
TF2B	20979-86	Protein	20.0	2.7939300067726847	0.08719238902254016	622.2	2542.007959361284
SNR25	20982-29	Protein	20.0	2.5464192668351915	0.1159686722293996	351.9	609.436135292854
DUS19	20984-142	Protein	20.0	2.8687619582120503	0.08141592065295525	739.2	1824.6159269119437
EGLN3	20986-58	Protein	20.0	2.906765889540728	0.12133268708849172	806.8	1164.0212310595816
SIX6	20987-21	Protein	20.0	2.8273692730538253	0.09557705589451487	672.0	1331.0259274752532
RP9	20988-63	Protein	20.0	3.292676867185116	0.11464987318260617	1961.9	1154.0921110935617
TEF	20990-48	Protein	20.0	2.380934463330702	0.06588195461135041	240.4	876.9561579069456
LIMD2	20991-2	Protein	20.0	3.604938489199936	0.46681115169830417	4026.6	10541.043860733222
BEND6	20993-13	Protein	20.0	2.5979144712025284	0.08389288869013171	396.2	1002.2923360315714
PKHF2	20994-37	Protein	20.0	3.842397032423771	0.5245924279489358	6956.6	12475.595662497433
RPB3	20995-47	Protein	20.0	3.1701149694966517	0.17135696548109192	1479.5	24828.824313918572
SDHF1	20996-107	Protein	20.0	3.0463780880482725	0.0832607445991171	1112.7	1780.840650349276
NRK2	20998-19	Protein	20.0	3.35330059232073	0.13666705643048163	2255.8	4715.387380682014
RL5	20999-12	Protein	20.0	3.203739808633858	0.211235536907311	1598.6	8380.584166113205
RPB1B	21000-40	Protein	20.0	2.639386869017684	0.17168788192404114	435.9	6822.767437638395
BRK1	21001-393	Protein	0.5	3.2105325370693967	0.10181817264245267	1623.8	1787.9524303432631
NUDC2	21002-1	Protein	20.0	3.7487228104527883	0.2391658987889201	5606.9	6600.210901386752
MGN	21008-113	Protein	20.0	3.1636681537826687	0.1871070896221629	1457.7	6410.236149545105
SNTAN	21009-28	Protein	20.0	2.779668627207148	0.08553610429872736	602.1	713.7769632463325
UBL5	21104-37	Protein	20.0	3.5295201814056836	0.2557497757465748	3384.7	5229.085318109964
U119B	21105-23	Protein	20.0	3.0745604678028955	0.445386469936501	1187.3	10034.849690873705
CETN1	21106-206	Protein	20.0	2.6711728427150834	0.09988276055213098	469.0	2033.40875733255
CIA30	21107-5	Protein	20.0	3.431379848841936	0.37498110581548194	2700.1	13881.710364138688
CSTP1	21108-5	Protein	20.0	3.7093123704755864	0.2930003584090095	5120.5	8062.421614531743
CFA36	21109-1	Protein	20.0	3.902747845351485	0.26647688348657084	7993.7	14396.39916146721
UBE2Z	21110-5	Protein	20.0	3.0746336182969043	0.20604498757152115	1187.5	1390.5349571967138
HPBP1	21111-49	Protein	20.0	3.07213956323974	0.3019637646970084	1180.7	3372.4098264278477
MLRS	21112-6	Protein	20.0	3.553288194064595	0.15500807797741992	3575.1	8113.011233941209
TIFA	21113-3	Protein	20.0	2.707058940627596	0.08246177660026793	509.4	1904.8946588839678
DJC12	21114-18	Protein	20.0	2.5425764762605296	0.1293936706645008	348.8	521.5274821901152
BN3D2	21115-48	Protein	0.5	4.30946834129649	0.23621279026001088	20392.4	11759.929248033246
EED	21116-13	Protein	20.0	2.385963570600697	0.22603725292377108	243.2	704.0764968962403
ZC4H2	21117-18	Protein	20.0	2.1556396337597765	0.1011330071415625	143.1	352.2428888904233
GFRP	21118-48	Protein	20.0	3.24375714102993	0.15270472253969491	1752.9	1970.9812140949243
CBR4	21119-1	Protein	20.0	2.7614767795447017	0.0992235966928121	577.4	854.866519723105
MIMIT	21120-3	Protein	20.0	2.9737280586880273	0.2432959211327489	941.3	4746.125693725794
UBA3	21121-31	Protein	20.0	2.1179338350396413	0.12708589228634024	131.2	232.8611524021034
DBND2	21122-3	Protein	20.0	3.1124374173218436	0.09933355681632812	1295.5	1413.7282925952816
RM28	21123-1	Protein	20.0	2.580696939712437	0.07353913506912321	380.8	713.2394218495361
YAED1	21124-17	Protein	20.0	3.052578525044658	0.10977164657694105	1128.7	7621.292340352384
GFPT1	21126-27	Protein	20.0	3.544179705718347	0.19319021819108986	3500.9	3486.1598319424515
CDK2	21128-2	Protein	20.0	3.597519677949027	0.27098414306496094	3958.4	5294.133558684985
MD2BP	21129-95	Protein	20.0	3.5010044581944717	0.141481296234477	3169.6	4025.6487087193295
ITPK1	21130-82	Protein	0.5	3.7891574919114395	0.11763707576022965	6154.0	2912.644667775616
TYW5	21131-109	Protein	20.0	3.3625578665544893	0.37399384081278597	2304.4	3644.965670704476
SYT13	21132-9	Protein	20.0	2.4282968139828798	0.0764094911197946	268.1	478.7785675529371
CMC4	21133-33	Protein	20.0	3.0941915249095318	0.09494177482876925	1242.2	5633.136889915704
ZHANG	21134-9	Protein	20.0	2.660865478003869	0.10862544354651005	458.0	735.7109190702297
SF3B6	21135-16	Protein	20.0	3.0961449812943442	0.08369781694815447	1247.8	1499.1255931230783
PSMG2	21136-1	Protein	20.0	3.298853076409707	0.10012386478016483	1990.0	1250.9644548115837
NPM2	21138-2	Protein	20.0	2.5058280338548364	0.07536188137862657	320.5	442.4487720021533
CAMLG	21140-19	Protein	20.0	2.9921557110426167	0.3252314599796973	982.1	2264.1560525152877
FA84B	21141-9	Protein	20.0	2.9230885154423993	0.09392277529322832	837.7	1403.2520779034505
Calcyphosin	21143-10	Protein	20.0	2.753429841575423	0.09770479142437705	566.8	3871.168971888562
SGK1	21144-160	Protein	20.0	2.9927743642553555	0.08957788213675529	983.5	777.1600838262423
TULP1	21146-187	Protein	20.0	2.371806458507416	0.07309773242912186	235.4	298.22440731463627
Fructosamine-3-kinase	21147-9	Protein	0.5	3.5996756960589873	0.38910853360371683	3978.1	7002.721518670698
CUED1	21149-27	Protein	20.0	2.9570323163469383	0.10997069037588882	905.8	985.2989914347016
EYA2	21152-25	Protein	0.5	3.166785219735433	0.11032861520086694	1468.2	922.397026472461
BAP18	21153-5	Protein	20.0	4.089717936089447	0.5958765967212739	12294.7	17571.413616557602
CB39L	21154-8	Protein	20.0	3.427047698387575	0.27049928780336185	2673.3	3035.3884304385356
CHAC2	21156-5	Protein	20.0	2.8444771757456815	0.2003918316593141	699.0	1043.5962696844604
HYKK	21157-6	Protein	20.0	2.9557358422776656	0.09599811338876904	903.1	1046.087887324099
CHMP6	21160-4	Protein	0.5	3.3902460451092216	0.1983259772719401	2456.1	2348.188793088277
MRM2	21161-16	Protein	20.0	2.535167485114944	0.07774289382419405	342.9	1283.727622156359
TBCEL	21162-30	Protein	20.0	4.234309703915032	0.26754763981638924	17151.8	15047.210324493255
TBC13	21163-21	Protein	20.0	3.464012366249414	0.42910848828714415	2910.8	6800.083490415446
TF2LX	21164-83	Protein	20.0	2.3197304943302246	0.0927101830275424	208.8	615.2216029060357
CTDS1	21166-1	Protein	20.0	3.633084490772176	0.43286716880088055	4296.2	9424.80584728251
PTPM1	21167-33	Protein	20.0	2.7570922201189325	0.09589952559801977	571.6	681.668345093108
MESD1	21172-11	Protein	20.0	3.4678743714959306	0.10855300642776092	2936.8	1056.8713881138353
ELAV2	21173-25	Protein	20.0	2.6231458746379395	0.08532695277128306	419.9	1385.330535985061
CIAO1	21178-8	Protein	20.0	3.523343191941299	0.3537774550847847	3336.9	6070.897150223955
PLCX3	21180-16	Protein	20.0	2.74499667403856	0.08970363760494643	555.9	491.16398388876803
LR2BP	21181-10	Protein	0.5	3.1276230495980295	0.06935641460803253	1341.6	3110.8324422944124
SEN15	21182-8	Protein	20.0	2.920071124297524	0.1890901416354201	831.9	895.9234686580013
DUS10	21183-1	Protein	20.0	2.3679147387937527	0.08894284185108937	233.3	1318.4362353338477
BL1S2	21184-1	Protein	20.0	2.323252100171687	0.09935742825785268	210.5	1009.919919543814
RWDD4	21188-38	Protein	20.0	3.550986177622662	0.5044142313884339	3556.2	6854.78336316259
NUBP1	21189-9	Protein	20.0	3.410389146513233	0.15144035879408393	2572.7	2244.9984484613797
UBE2W	21190-4	Protein	20.0	3.24355888962248	0.24669186143993677	1752.1	7305.885338342425
DUS21	21191-24	Protein	20.0	2.6280822609906793	0.15874964527029153	424.7	785.8101511826646
TFB2M	21193-1	Protein	20.0	2.49996186559619	0.14959778215208772	316.2	8153.590076862648
PO6F1	21194-39	Protein	20.0	3.8602121927057613	0.105372601152657	7247.9	8925.803378318176
SAMN1	21196-29	Protein	20.0	2.8344842853348053	0.2199952086681113	683.1	1278.3286767484
MR1L1	21203-14	Protein	20.0	2.7709256146389993	0.07858620355104914	590.1	1055.5302977756714
DESI1	21204-70	Protein	20.0	2.8275631112547237	0.1255943462735525	672.3	626.5109149196662
HAX1	21206-218	Protein	20.0	3.209943735684952	0.09784080372133745	1621.6	1316.6082207508036
COASY	21207-1	Protein	0.5	3.157003196832525	0.11973996199945332	1435.5	1240.7471622713672
CEBPE	21208-163	Protein	20.0	2.9806395674437374	0.08649212960166584	956.4	1006.4226829098908
DPOLB	21210-33	Protein	20.0	2.6203442997544935	0.08889590503791546	417.2	2665.6459150474752
PHB2	21217-20	Protein	20.0	3.0772952139320906	0.10203682800125712	1194.8	1268.2618856494635
RPAIN	21219-7	Protein	20.0	2.783760695743924	0.0690418987473845	607.8	1016.0996357246094
SAR1B	21220-11	Protein	20.0	3.5278102824785433	0.14910297558801772	3371.4	2415.0723676693897
Serpin B9	21221-67	Protein	0.5	3.6265456590271294	0.43820387372882064	4232.0	7253.055896348975
SULT 1A1*2	21227-18	Protein	20.0	3.494168513490308	0.4476683236857977	3120.1	7411.756769560089
TMIG2	21229-5	Protein	20.0	3.270795253376848	0.11428038188948965	1865.5	6381.862982154367
ACHA5	21231-3	Protein	20.0	2.7120601424610746	0.06682744121509691	515.3	1481.2831404211947
BPSA	21232-39	Protein	20.0	3.26332828498623	0.2522937224591191	1833.7	2227.210101466461
ASB-13	21234-7	Protein	20.0	3.7098209617099416	0.0808730328675174	5126.5	2305.825544412494
IMA6	21235-11	Protein	20.0	3.481399626919825	0.36336970934879875	3029.7	6465.960067355805
TMED9	21236-12	Protein	20.0	3.7508553832258906	0.09155193466826846	5634.5	1595.3798402462623
PADI4	21237-24	Protein	20.0	3.412242085209914	0.302874787781657	2583.7	19989.449429529937
CK5P3	21238-40	Protein	0.5	3.752148362489249	0.13241301580718928	5651.3	2738.4263529498567
CYH1	21239-31	Protein	20.0	2.939119717648487	0.15419081934707424	869.2	1251.0035898423525
GCST	21240-6	Protein	20.0	3.3585629766610556	0.2934194085463237	2283.3	7076.534930403449
NAT6	21241-1	Protein	20.0	3.165541076722373	0.53664260154216	1464.0	3024.280385175596
NPM1	21244-57	Protein	20.0	3.3359390690317294	0.09647882754783586	2167.4	5073.71739303831
METK1	21247-16	Protein	20.0	2.7415455167762093	0.2356063635368437	551.5	875.0851666487441
DFFA	21249-115	Protein	20.0	3.6248078823849657	0.11234373815602372	4215.1	3713.617676141916
RGS16	21255-2	Protein	20.0	3.110252917353403	0.10842392294031508	1289.0	1301.9068472173462
RUXE	21260-74	Protein	20.0	2.924641047417163	0.15100505175366621	840.7	1114.955155619876
HYES	21269-198	Protein	20.0	2.5630061870617937	0.10269894355669087	365.6	266.1226845491078
AK1C2	21271-53	Protein	20.0	2.8862086241674976	0.12238392193102417	769.5	937.9851258254763
CN166	21272-100	Protein	20.0	2.3332456989619628	0.09230003172852516	215.4	414.1950299717149
CD133	21276-11	Protein	20.0	3.3202917192395605	0.08007975301738271	2090.7	1794.0843718592255
T22D3	21280-13	Protein	20.0	3.059108817913594	0.08435939153862312	1145.8	1650.462347400973
CK2N2	21281-13	Protein	20.0	3.9359755676193426	0.1395454986560034	8629.3	4853.329095943142
TNIP1	21282-21	Protein	20.0	2.3236645356081	0.08097799252634848	210.7	502.5634697489522
RL11	21286-29	Protein	20.0	3.096701501610003	0.10478278844568666	1249.4	3816.2661120454068
Sperm-associated antigen 7	21289-36	Protein	20.0	2.863382348440788	0.14963736075737188	730.1	2206.7783483505964
HUS1	21290-66	Protein	0.5	3.137702167146962	0.09437370703679901	1373.1	5759.017129591388
HAUS1	21306-7	Protein	20.0	3.1048966299489655	0.10311046743966018	1273.2	7019.066449661249
DHRS4	21308-44	Protein	20.0	3.264558112800327	0.10975752543526732	1838.9	2273.247776681298
MRT4	21310-37	Protein	20.0	3.1488185146020182	0.12544169283644485	1408.7	9137.75488981616
JDP2	21311-22	Protein	20.0	2.3251049829714074	0.0855440193149409	211.4	889.292748769971
UBA5	21314-11	Protein	20.0	2.7753191218294777	0.10183501074140133	596.1	2201.9035311363305
KBRS1	21317-25	Protein	20.0	2.906981153228854	0.09312927699848994	807.2	2960.9014020538043
MRM1	21319-196	Protein	20.0	2.2232362731029975	0.09969542192172227	167.2	439.460616757112
RU2A	21321-2	Protein	20.0	2.594613509160098	0.10201000544868069	393.2	1736.9508372874523
T2EB	21322-60	Protein	20.0	2.622006673006805	0.12761370715626733	418.8	3752.2908271053243
RWDD1	21323-2	Protein	20.0	4.1097742221630815	0.4130942064021554	12875.8	15928.540301482653
TBCC	21326-28	Protein	20.0	3.290857876502888	0.268915243695583	1953.7	2822.7229349407
MRI	21327-12	Protein	20.0	2.4245549766067134	0.08314750246397067	265.8	370.5812838236484
SYT1	21328-2	Protein	20.0	2.668665415454492	0.0833214314746988	466.3	1469.569414280416
PHOP2	21329-66	Protein	0.5	3.2600713879850747	0.094977131045359	1820.0	3863.995438435246
SYYM	21330-13	Protein	20.0	3.2596894227169146	0.1002595098264484	1818.4	1544.6144217696703
BCL7A	21331-19	Protein	20.0	2.7858990283843834	0.17188053405137255	610.8	2329.673622884756
SIL1	21338-44	Protein	20.0	2.4097641042663462	0.08838686068431423	256.9	541.5492454324472
ALAT2	21339-19	Protein	20.0	2.773274348337454	0.06659933127696367	593.3	650.7438948104387
HLF	21340-38	Protein	20.0	2.6786094165589263	0.08023999479568622	477.1	824.224930889175
CHM4A	21341-19	Protein	0.5	3.2896558305267503	0.3639910162855039	1948.3	3163.092372695902
RGS14	21342-25	Protein	20.0	2.912647106218317	0.09844511456303731	817.8	1667.5831783793467
ARC	21343-3	Protein	20.0	2.5514499979728753	0.10568280269807126	356.0	701.3735229759377
TFB1M	21344-31	Protein	20.0	2.6437486854595256	0.3338664417182328	440.3	2265.4235048803694
RDH12	21345-93	Protein	0.5	3.403840886580896	0.14071944482366144	2534.2	2324.7290418683056
PYRD	21346-71	Protein	20.0	2.662757831681574	0.06656512102157375	460.0	640.4559014858892
TRPT1	21348-22	Protein	20.0	2.557025722386383	0.09074114022145542	360.6	1914.483244336297
STYX	21349-2	Protein	20.0	3.076130494543006	0.13467777074997847	1191.6	1244.822779809681
LN28B	21350-29	Protein	20.0	2.635081436010873	0.08555288509140911	431.6	2622.226156110667
Glycyl t-RNA synthetase	21351-8	Protein	0.5	3.4656058906462865	0.5234602691594827	2921.5	6062.116533822982
UPP	21354-92	Protein	20.0	2.5029730590656314	0.08316697911658096	318.4	858.6891541371555
USF1	21355-4	Protein	20.0	3.0824263008607717	0.10073950792404496	1209.0	1103.0624071588588
B9D2	21356-6	Protein	20.0	2.7706311277778064	0.10476921212210007	589.7	388.42545004688714
FBLI1	21357-12	Protein	20.0	2.95535095736766	0.1333347082017647	902.3	5701.529503938811
NREP	21359-17	Protein	20.0	2.2638726768652235	0.07661770626115236	183.6	487.3564015939759
SPEC1	21360-27	Protein	0.5	2.9525018478630236	0.06924637102576715	896.4	1306.6249938605336
TR3N	21361-8	Protein	20.0	2.369772288596963	0.09488290268206169	234.3	350.0400888148241
CYH3	21365-5	Protein	20.0	2.48572142648158	0.2695740194377717	306.0	661.7588547618404
MSI2H	21366-7	Protein	20.0	3.0189500215009746	0.3206128119892614	1044.6	13133.077960119379
NRBF2	21367-63	Protein	20.0	2.7514330818193473	0.16817725173170106	564.2	11690.836478860361
RPC10	21368-46	Protein	20.0	2.759969857554307	0.15797685279510962	575.4	5467.984842093057
RTCA	21369-15	Protein	20.0	4.430204098631749	0.35121096111048844	26928.0	25304.912086061075
SKA1	21370-45	Protein	20.0	3.0402857989324916	0.11713613116356539	1097.2	1715.0918502206341
MINA	21371-12	Protein	20.0	2.593286067020457	0.06674604297044415	392.0	2702.6663875045083
QTRD1	21373-8	Protein	20.0	3.5271012090571188	0.1666125954702364	3365.9	2711.853067678414
R3GEF	21375-34	Protein	20.0	3.0186588975855178	0.18946315898340396	1043.9	12999.246897619621
PNPT1	21378-7	Protein	20.0	3.111833578148847	0.4538780077486621	1293.7	6756.234362641569
EKI2	21379-30	Protein	0.5	3.31943920304605	0.07780390527982986	2086.6	1686.2935673843313
TGT	21380-77	Protein	20.0	2.8482507146770426	0.16792738027372373	705.1	1213.532659110073
TB22B	21381-73	Protein	20.0	3.016615547557177	0.13087065039409976	1039.0	1694.5832631429507
RNZ1	21382-70	Protein	20.0	3.236763922187807	0.5112333899547106	1724.9	14309.693858109893
SYNC	21383-37	Protein	20.0	4.335303412822215	0.5095781575070409	21642.3	29413.684411044316
Alpha-L-fucosidase I	21384-2	Protein	0.5	3.836830286488879	0.2352558683812731	6868.0	3350.26828997662
SLIK2	21385-5	Protein	0.5	2.65571454961871	0.08740005793518686	452.6	252.06461411163326
MEP1A	21387-64	Protein	20.0	3.6103726671919825	0.18849511567007973	4077.3	12345.262982370785
STK3	21389-32	Protein	0.5	3.3661987473697264	0.1369608268253256	2323.8	1045.0173413317366
L-dopachrome tautomerase	21390-68	Protein	20.0	2.6931991451537174	0.09699742643293695	493.4	624.4862763743811
b-CF	21391-17	Protein	20.0	3.2920566046214685	0.09551954648937225	1959.1	4830.638890036631
MAGD1	21392-15	Protein	20.0	2.6776981814745104	0.1212194480072796	476.1	1046.4219340122404
SAHH	21393-62	Protein	20.0	3.723652660766369	0.1210447578706983	5292.4	5662.319849237623
PCD17	21395-23	Protein	20.0	3.2944000849098107	0.12901882205362045	1969.7	875.8240304189837
PRTG	21397-21	Protein	20.0	3.3215777196957985	0.09448804535000808	2096.9	816.1544702201646
TSC2	21403-39	Protein	20.0	2.871280972857973	0.09102537992101375	743.5	1439.674726059898
M3K11	21406-25	Protein	20.0	4.038489019389191	0.10085378303245457	10926.7	8840.084059234332
MAP3K3	21415-212	Protein	20.0	2.8737854608182007	0.23584488139026297	747.8	2659.179356394212
CPTP	21426-88	Protein	20.0	3.105305762793075	0.2297388238692355	1274.4	1279.8715183388738
THOP1	21429-50	Protein	20.0	3.0194071080188833	0.0893184352133564	1045.7	1184.7868563057195
cPLA2-alpha	21430-4	Protein	0.5	3.3491026085630318	0.34479586304859056	2234.1	3560.8011662704953
BT3A2	21433-3	Protein	20.0	4.1525237782684155	0.13316953544071114	14207.7	6034.452968407299
SRPK2	21435-143	Protein	20.0	3.1007839620758673	0.17664692070629862	1261.2	1662.175011154152
ATG4A	21436-56	Protein	20.0	2.709439574132411	0.2009283813007714	512.2	690.475743339339
MGMT	21437-77	Protein	20.0	4.142786657627377	0.5182927928006142	13892.7	22440.12184132908
TRIM5	21438-45	Protein	20.0	3.4376395975003704	0.1363576864411652	2739.3	2995.989953548246
HCLS1	21439-37	Protein	0.5	3.294598478453709	0.34902511232216693	1970.6	6751.136436318468
ADAM-8	21440-9	Protein	20.0	2.70035752782266	0.08261359648283474	501.6	690.7106055413009
gp75	21441-20	Protein	20.0	3.4317496322269334	0.09591792851946512	2702.4	1509.8296108840884
Kallikrein 2	21444-40	Protein	20.0	2.8838317133294527	0.13682773525251288	765.3	752.9922173572824
Neddylin	21445-40	Protein	20.0	4.2844487820713395	0.4019109562962972	19250.8	19951.64162853558
Caspase-10	21450-333	Protein	20.0	2.817036226050029	0.09056503086687161	656.2	1284.042540221492
DNM1L	21452-3	Protein	20.0	3.958229314188382	0.15669375018354015	9083.0	5609.528260710318
CQ10A	21457-141	Protein	20.0	2.94146173934733	0.06100795801810294	873.9	556.1733996250547
cIAP-1	21464-2	Protein	20.0	2.7697464671794534	0.1629755071767835	588.5	890.497896387015
TXNL1	21475-137	Protein	20.0	3.3523176109368267	0.21341708972059598	2250.7	8594.958111633454
NEIL2	21476-43	Protein	20.0	2.240798771117331	0.062343173791876504	174.1	246.40564400808472
MAEA	21477-105	Protein	20.0	3.205691453579506	0.11134402204673878	1605.8	1179.7994575532605
SMAD5	21478-20	Protein	20.0	3.772035506278395	0.543440506463096	5916.1	11040.859694160694
CD82 antigen	21480-2	Protein	20.0	2.6045500325712614	0.1518127438854823	402.3	892.4028910405581
KAP0	21483-155	Protein	20.0	4.115430766421584	0.2328687589990001	13044.6	15954.747082563103
BL1S6	21487-20	Protein	20.0	2.906765889540728	0.10575252584362209	806.8	1317.1290082372564
VAP-1	21491-7	Protein	0.5	4.555454799750207	0.08058857701906022	35929.8	7914.596091691184
CLUL1	21492-19	Protein	20.0	3.198134519831676	0.10723374472498999	1578.1	1181.8146647957392
GPR37	21495-134	Protein	20.0	3.6723288042224165	0.13199309356895594	4702.5	1963.624897944679
HYOU1	21497-32	Protein	0.5	4.256780264492483	0.07139648719716343	18062.6	4957.318823245373
AL7A1	21498-3	Protein	0.5	3.5388877800147	0.10373727869099557	3458.5	1560.5988719774437
COQ7	21499-17	Protein	20.0	3.125578849002185	0.08578607906042021	1335.3	1841.3121766432585
FPPS	21501-30	Protein	20.0	3.3773608987811126	0.11213838195891829	2384.3	4359.570625273554
TSHR	21503-12	Protein	20.0	2.4191293077419758	0.0908966213615819	262.5	1067.16621128276
I2C2	21504-41	Protein	20.0	4.144760960776074	0.25734697477569946	13956.0	19341.432064354987
COMD8	21507-48	Protein	20.0	2.9815921172140816	0.09962961870776041	958.5	2736.8210809478505
SIA8A	21508-7	Protein	0.5	3.7802452838653524	0.1006417659706037	6029.0	1642.288789360283
GL8D2	21509-29	Protein	20.0	2.862548769524793	0.08266767274746101	728.7	1984.3232344705364
GRK5	21510-24	Protein	20.0	2.7782236267660965	0.10210511117727056	600.1	1018.1284133034701
EDEM2	21512-6	Protein	20.0	2.9786825651569444	0.09845308452288185	952.1	3231.8269428136828
Caspase-7	21513-1	Protein	20.0	2.6121478383264867	0.10130329358446888	409.4	1160.162300609263
GP1BB	21514-1	Protein	20.0	3.2978917641546546	0.13657610368349518	1985.6	2731.6290080072845
AACS	21515-61	Protein	20.0	2.881213416255019	0.13880201851296392	760.7	1149.3430643491185
TPH1	21521-17	Protein	20.0	3.2276553619230426	0.09783388030155118	1689.1	2275.9881814151663
ILKAP	21523-71	Protein	20.0	2.6675463395115164	0.10323636243359559	465.1	842.0101331065584
UBP5	21524-14	Protein	20.0	3.277357044047016	0.16275102186395435	1893.9	2263.994782487615
sperm-egg fusion protein 1	21526-88	Protein	20.0	3.063520999689991	0.23392360262334755	1157.5	3978.385143653488
BMF	21528-12	Protein	20.0	2.6901074394563307	0.10714572270122423	489.9	3010.870456901173
UBS3A	21529-6	Protein	20.0	2.890923771489014	0.09672209762756272	777.9	1353.150154758081
LSP1	21533-51	Protein	20.0	2.8643924051505887	0.11290506304400037	731.8	2399.0275894983174
AASD1	21535-5	Protein	0.5	3.5613995604420277	0.09443689633936111	3642.5	1716.8474825050698
CPLX3	21536-65	Protein	20.0	3.4487835896289565	0.09041587384961747	2810.5	2332.55525903109
SCLY	21537-33	Protein	20.0	3.4656058906462865	0.16578008495269675	2921.5	1729.463720738491
SYT6	21539-139	Protein	20.0	3.4112323715410695	0.2534934930137087	2577.7	3246.0968149321225
BIN2	21540-73	Protein	20.0	4.662769160955069	0.5298725104596147	46001.2	52803.83875966872
ATLA3	21544-4	Protein	20.0	3.0409976924234905	0.08285628190478798	1099.0	1676.9563920579646
MSTN1	21545-51	Protein	20.0	2.85769425778655	0.08226007317055357	720.6	649.6481423844352
AGRD1	21546-20	Protein	0.5	3.22318432089504	0.13191501863014263	1671.8	811.5711016203809
DMP4	21547-6	Protein	0.5	3.6802448370426077	0.07607921933430715	4789.0	1236.2399754446353
GGT5	21548-20	Protein	0.5	3.1180993120779945	0.07292694634520033	1312.5	1025.85894782092
TECTB	21549-144	Protein	20.0	3.229118455328952	0.10050255415905053	1694.8	7342.632593456529
